 Sigla , Data de abertura , SHOPPING/STREET , Salão de Vendas - m² , Cidade , Local , Estado , Região 
 CNS ,4/11/2010, SHOPPING MALL , 1.590 , CANOAS , CANOAS SHOPPING , RS , Sul 
 SVN ,9/11/2010, SHOPPING MALL , 1.701 , SALVADOR , SALVADOR NORTE SHOPPING , BA , Nordeste 
 GVS ,24/11/2010, SHOPPING MALL , 984 , COTIA , SHOPPING GRANJA VIANNA , SP , Sudeste 
 SGB ,30/11/2010, SHOPPING MALL , 923 , SÃO GONÇALO , BOULEV. SHOPP. SÃO GONÇALO , RJ , Sudeste 
 CGY ,29/4/2011, SHOPPING MALL , 1.929 , RIO DE JANEIRO , SHOPPING BOULEVARD , RJ , Sudeste 
 ITB ,30/6/2011, SHOPPING MALL , 1.964 , ITABUNA , JEQUITIBÁ PLAZA , BA , Nordeste 
 NIL ,7/7/2011, STREET , 2.117 , RIO DE JANEIRO , CENTRO , RJ , Sudeste 
 IND ,4/8/2011, SHOPPING MALL , 1.023 , INDAIATUBA , POLO SHOPPING INDAIATUBA , SP , Sudeste 
 CPR ,25/8/2011, STREET , 2.359 , RIO DE JANEIRO , CAMPO GRANDE , RJ , Sudeste 
 JAC ,22/9/2011, SHOPPING MALL , 998 , JACAREI , JACAREÍ SHOPPING , SP , Sudeste 
 UBR ,4/10/2011, SHOPPING MALL , 1.093 , UBERABA , SHOPPING UBERABA , MG , Sudeste 
 SCS ,10/11/2011, SHOPPING MALL , 2.244 , SÃO CAETANO DO SUL , PARK SHOPPING SÃO CAETANO , SP , Sudeste 
 HTL ,24/11/2011, SHOPPING MALL , 1.165 , HORTOLANDIA , SHOPPING HORTOLANDIA , SP , Sudeste 
 SMC ,25/11/2011, SHOPPING MALL , 1.140 , MONTES CLAROS , SHOPPING MONTES CLAROS , MG , Sudeste 
 SMO ,29/11/2011, SHOPPING MALL , 1.838 , SÃO PAULO , MOOCA PLAZA SHOPPING , SP , Sudeste 
 PSB ,30/11/2011, SHOPPING MALL , 1.783 , BARUERI , PARQUE SHOPPING BARUERI , SP , Sudeste 
 VSE ,30/11/2011, SHOPPING MALL , 2.002 , SERRA , SHOPPING MESTRE ÁLVARO , ES , Sudeste 
 MAR ,8/12/2011, SHOPPING MALL , 1.005 , MARILIA , MARILIA SHOPPING CENTER , SP , Sudeste 
 SBM ,8/12/2011, SHOPPING MALL , 1.122 , SÃO BERNARDO DO CAMPO , SHOPPING METRÓPOLE , SP , Sudeste 
 AJR ,9/12/2011, SHOPPING MALL , 1.887 , SERGIPE , SHOPPING RIOMAR , SE , Nordeste 
 VCO ,13/12/2011, SHOPPING MALL , 2.072 , VITORIA DA CONQUISTA , SHOPPING CONQUISTA SUL , BA , Nordeste 
 SLI ,20/12/2011, SHOPPING MALL , 2.121 , SÃO LUIS , SHOPPING DA ILHA , MA , Nordeste 
 PWA ,26/4/2012, SHOPPING MALL , 1.984 , PORTO ALEGRE , BOURBON SHOPPING WALLIG , RS , Sul 
 BEP ,4/5/2012, SHOPPING MALL , 1.951 , BELEM , PARQUE SHOPPING BELÉM , PA , Norte 
 JZN ,8/5/2012, SHOPPING MALL , 2.025 , JUAZEIRO DO NORTE , SHOPPING CARIRI , CE , Nordeste 
 BHE ,23/5/2012, SHOPPING MALL , 2.011 , BELO HORIZONTE , SHOPPING ESTAÇÃO BH , MG , Sudeste 
 RBV ,14/6/2012, SHOPPING MALL , 1.004 , RECIFE , SHOPPING BOA VISTA , PE , Nordeste 
 SVV ,13/7/2012, SHOPPING MALL , 2.336 , SALVADOR , SHOPPING BELA VISTA , BA , Nordeste 
 CRD ,24/7/2012, SHOPPING MALL , 1.009 , CARUARU , SHOPPING DIFUSORA , PE , Nordeste 
 IPZ ,27/9/2012, SHOPPING MALL , 2.240 , IMPERATRIZ , SHOPPING IMPERIAL , MA , Nordeste 
 CBO ,10/10/2012, SHOPPING MALL , 1.877 , CABO DE SANTO AGOSTINHO , SHOPPING COSTA DOURADA , PE , Nordeste 
 SRN ,12/10/2012, SHOPPING MALL , 1.163 , SÃO JOSÉ DO RIO PRETO , SHOPPING CIDADE NORTE , SP , Sudeste 
 JNS ,18/10/2012, SHOPPING MALL , 1.735 , JUNDIAÍ , JUNDIAÍ SHOPPING , SP , Sudeste 
 FLC ,27/10/2012, SHOPPING MALL , 2.322 , SÃO JOSÉ , CONTINENTE PARK SHOPPING , SC , Sul 
 REM ,30/10/2012, SHOPPING MALL , 2.250 , RECIFE , RIOMAR SHOPPING  , PE , Nordeste 
 CPB ,9/11/2012, SHOPPING MALL , 2.253 , CAMPINAS , SHOP. PARQUE DAS BANDEIRAS , SP , Sudeste 
 SBP ,13/11/2012, SHOPPING MALL , 2.127 , SÃO BERNARDO DO CAMPO , SHOPPING SÃO BERNARDO PLAZA , SP , Sudeste 
 MGG ,22/11/2012, SHOPPING MALL , 1.112 , MOGI GUAÇU , BURITI SHOPPING MOGI GUAÇU , SP , Sudeste 
